,s,p,o,source,support
2473,ontology construction,pursue,induction of concept description,heuristic,1
2474,induction of concept description,express,description logics,heuristic,1
2475,learning algorithm,carry,real ontology,heuristic,1
2476,dl foil,carry,real ontology,heuristic,2
2477,real ontology,express,diverse description logic,heuristic,1
2478,data mining technique,relate,application,heuristic,1
2479,application,relate,data mining technique,heuristic,1
2480,social networks,relate,semantic web technologies,heuristic,4
2481,semantic web technologies,relate,social networks,heuristic,6
2482,collective processing,inspire,social networks,heuristic,1
2483,knowledge integration,inspire,language processing system,heuristic,1
2484,data mining,inspire,language processing system,heuristic,1
2485,collective processing,inspire,language processing system,heuristic,1
2486,communication,relate,knowledge discovery,heuristic,1
2487,knowledge discovery,relate,communication,heuristic,1
2488,inctreased reasoning speed,deal,ontology reasoning tool,heuristic,2
2489,approximate reasoning solution,trade,inctreased reasoning speed,heuristic,1
2490,protege ontology editor,relate,acewiki,heuristic,1
2491,acewiki,relate,protege ontology editor,heuristic,1
2492,domain of interest,deal,human readable web,heuristic,1
2493,domain of interest,deal,machine understandable data,heuristic,1
2494,ontologies,capture,domain of interest,heuristic,3
2495,ontologies,deal,human readable web,heuristic,2
2496,ontologies,deal,machine understandable data,heuristic,2
2497,semantic enhanced web usage mining technique,relate,domain-specific ontologies,heuristic,1
2498,domain-specific ontologies,relate,semantic enhanced web usage mining technique,heuristic,1
2499,representation,inspire,business rule,heuristic,4
2500,syntax,inspire,business rule,heuristic,2
2501,business rule,prioritize,prioritized modality,heuristic,4
2502,syntax,inspire,prioritized modality,heuristic,6
2503,syntax,inspire,annotation,heuristic,4
2504,annotation,prioritize,prioritized modality,heuristic,2
2505,sri based query execution model,minimize,network,heuristic,3
2506,model,devise,sri enabled routing policy,heuristic,1
2507,sri enabled routing policy,test,ad hoc pdms simulation environment,heuristic,2
2508,clinical information system,relate,deci   sion support,heuristic,1
2509,deci   sion support,relate,clinical information system,heuristic,1
2510,ontology based knowledge acquisition,capture,clinical practice guideline,heuristic,3
2511,knowledge engineering approach,capture,clinical practice guideline,heuristic,2
2512,patient database,relate,supported publication,heuristic,1
2513,supported publication,relate,patient database,heuristic,1
2514,healthcare knowledge,exist,healthcare provider environment,heuristic,1
2515,healthcare knowledge,focus,aug   menting decision making,heuristic,2
2516,healthcare provider environment,focus,aug   menting decision making,heuristic,1
2517,semantic web technologies,entail,represen   tation mechanism,heuristic,1
2518,knowledge rep   resentation formalism,suit,conceptual graph formalism,heuristic,2
2519,information source,express,ontologies,heuristic,1
2520,query processing,relate,view based query answering,heuristic,1
2521,ontology integration system,relate,view based query answering,heuristic,1
2522,ontology evolution,focus,automatic generation of concept,heuristic,1
2523,method,focus,automatic generation of concept,heuristic,2
2524,machine learning techniques,relate,information retrieval,heuristic,1
2525,information retrieval,relate,machine learning techniques,heuristic,1
2526,term frequency,relate,inverse document frequency,heuristic,1
2527,inverse document frequency,relate,term frequency,heuristic,1
2528,web information system,come,heterogeneous source,heuristic,3
2529,profile storing device capability,relate,user preference,heuristic,1
2530,user preference,relate,profile storing device capability,heuristic,1
2531,flash mockup,test,universities,heuristic,2
2532,personalization and user modeling method,grow,system,heuristic,2
2533,user modeling,relate,personalizations,heuristic,1
2534,personalizations,relate,user modeling,heuristic,1
2535,user adaptation,relate,personalizations,heuristic,1
2536,personalizations,relate,user adaptation,heuristic,1
2537,chronological distinction,found,semantic web technologies,heuristic,1
2538,wikipedia version,compare,germanet,heuristic,1
2539,wikipedia version,compare,english,heuristic,1
2540,wikipedia version,compare,wordnet,heuristic,1
2541,computer science,relate,hci,heuristic,1
2542,hci,relate,computer science,heuristic,1
2543,web science,correlate,web technology,heuristic,1
2544,storage index,call,rdf knowledge base,heuristic,3
2545,storage space,exist,change based approach,heuristic,2
2546,efficiency,exist,change based approach,heuristic,2
2547,storage space,relate,efficiency,heuristic,1
2548,efficiency,relate,storage space,heuristic,1
2549,generation database,term,nosql,heuristic,1
2550,web scale database,emerge,social network analysi,heuristic,2
2551,social network analysi,relate,bioinformatics network analysi,heuristic,1
2552,bioinformatics network analysi,relate,social network analysi,heuristic,1
2553,web scale database,emerge,semantic web analysi,heuristic,2
2554,semantic web analysi,relate,bioinformatics network analysi,heuristic,1
2555,bioinformatics network analysi,relate,semantic web analysi,heuristic,1
2556,web scale database,emerge,bioinformatics network analysi,heuristic,2
2557,nosql database,replace,information management system,heuristic,2
2558,information management system,compare,database system,heuristic,1
2559,nosql database,replace,oracle,heuristic,1
2560,nosql database,compare,database system,heuristic,3
2561,oracle,compare,database system,heuristic,2
2562,bulletin board,relate,email discussion,heuristic,1
2563,email discussion,relate,bulletin board,heuristic,1
2564,semantic web model,exchange,on-line communities,heuristic,4
2565,sioc,exchange,on-line communities,heuristic,4
2566,querying email archive,grain,argumentative structure of email conversation,heuristic,2
2567,querying email archive,grain,mining social network,heuristic,1
2568,back end processing of pervasive computing,access,distributed database,heuristic,1
2569,middleware infrastructure,access,distributed database,heuristic,3
2570,distributed database,relate,computation processing,heuristic,1
2571,computation processing,relate,distributed database,heuristic,1
2572,social network analysi,become,semantic web agenda,heuristic,1
2573,information retrieval ( ir ) driven method,deal,web,heuristic,1
2574,information retrieval ( ir ) driven method,deal,heterogeneity of feature,heuristic,1
2575,web snippet,return,search engines,heuristic,1
2576,search engines,disambiguate,extracting social network,heuristic,1
2577,web snippet,disambiguate,extracting social network,heuristic,2
2578,web snippet,return,disambiguating entity,heuristic,1
2579,multi class classification strategy,verify,classification effect,heuristic,2
2580,knowledge based application,relate,semantic web technologies,heuristic,1
2581,semantic web technologies,relate,knowledge based application,heuristic,1
2582,automated or semi automated business service,orchestrate,late bound web service,heuristic,2
2583,deployment view,hide,back stage complexity,heuristic,2
2584,semantic web technologies,relate,bpm,heuristic,1
2585,bpm,relate,semantic web technologies,heuristic,1
2586,service-oriented architecture (soa),relate,business process modelling,heuristic,1
2587,business process modelling,relate,service-oriented architecture (soa),heuristic,1
2588,internet semantic evolution,draw,knowledge representation,heuristic,1
2589,informatic ontology,draw,knowledge representation,heuristic,1
2590,informatic ontology,draw,reconstruction,heuristic,1
2591,explanation model,see,ontologies,heuristic,1
2592,explanation model,see,sciences of education,heuristic,1
2593,ontologies,relate,sciences of education,heuristic,1
2594,sciences of education,relate,ontologies,heuristic,1
2595,internet of things iot technology,relate,mobile health m health scenario,heuristic,1
2596,mobile health m health scenario,relate,internet of things iot technology,heuristic,1
2597,resource constrained assumption,relate,mobile networks,heuristic,1
2598,mobile networks,relate,resource constrained assumption,heuristic,1
2599,smart space based architectural model,emerge,health service,heuristic,2
2600,smart space based architectural model,emerge,personal mobile data,heuristic,2
2601,smart space based architectural model,emerge,iot technology,heuristic,1
2602,precision,complicate,browsing based interaction,heuristic,1
2603,client side javascript browser extension,reorganize,remote data source,heuristic,2
2604,client side javascript browser extension,reorganize,web contents,heuristic,1
2605,proof of concept system,work,digital libraries,heuristic,2
2606,reasoning technique,relate,graph based knowledge representation formalism,heuristic,1
2607,graph based knowledge representation formalism,relate,reasoning technique,heuristic,1
2608,bioinformatic,relate,recommender systems,heuristic,1
2609,recommender systems,relate,bioinformatic,heuristic,1
2610,bayesian networks,relate,semantic network,heuristic,1
2611,semantic network,relate,bayesian networks,heuristic,1
2612,semantic network,relate,conceptual graph,heuristic,1
2613,conceptual graph,relate,semantic network,heuristic,1
2614,semantic web technologies,relate,recommender systems,heuristic,1
2615,recommender systems,relate,semantic web technologies,heuristic,1
2616,gai net,relate,cp net,heuristic,1
2617,cp net,relate,gai net,heuristic,1
2618,conceptual graph,relate,formal concept analysi,heuristic,1
2619,formal concept analysi,relate,conceptual graph,heuristic,1
2620,cp net,relate,formal concept analysi,heuristic,1
2621,formal concept analysi,relate,cp net,heuristic,1
2622,query keyword,rank,statistical language model,heuristic,2
2623,retrieval model,outperform,ir and db model,heuristic,1
2624,retrieval model,outperform,structured data,heuristic,1
2625,retrieval model,outperform,keyword search,heuristic,1
2626,domain-specific ontologies,relate,semantic web technologies,heuristic,7
2627,detecting and recovering relevant ontology,mean,similarity between ontology,heuristic,2
2628,mobile applications,relate,internet,heuristic,1
2629,internet,relate,mobile applications,heuristic,1
2630,mobile applications,take,educational field,heuristic,2
2631,internet,call,terms e learning,heuristic,2
2632,educational field,call,terms e learning,heuristic,2
2633,internet,call,distance learning,heuristic,2
2634,educational field,call,distance learning,heuristic,2
2635,data mining,leave,e learning portal,heuristic,1
2636,students data,leave,e learning portal,heuristic,1
2637,data mining,decrease,semantic web mining,heuristic,2
2638,medical data,diverge,information systems,heuristic,1
2639,brahm,compare,redland,heuristic,2
2640,brahm,compare,jena,heuristic,2
2641,redland,know,rdf storage system,heuristic,1
2642,jena,know,rdf storage system,heuristic,1
2643,rdf query language,test,system,heuristic,1
2644,low level api,test,system,heuristic,1
2645,low level api,test,semantic association discovery algorithm,heuristic,2
2646,processing sparql query,read,rdf data,heuristic,1
2647,engine,operate,streaming rdf data,heuristic,1
2648,enterprise architecture,ground,systems theory,heuristic,1
2649,enterprise architecture,ground,computer science oriented semantic web,heuristic,2
2650,rq tech method,ground,systems theory,heuristic,2
2651,systems theory,regard,computer science oriented semantic web,heuristic,1
2652,enterprise change planning,prevent,system specific solution,heuristic,1
2653,enterprise change planning,prevent,methodology,heuristic,1
2654,web ontology language,relate,rdfschema,heuristic,1
2655,rdfschema,relate,web ontology language,heuristic,1
2656,rdfschema,relate,resource description framework (rdf),heuristic,1
2657,resource description framework (rdf),relate,rdfschema,heuristic,1
2658,filtering,relate,information retrieval,heuristic,1
2659,information retrieval,relate,filtering,heuristic,1
2660,ontology data,emerge,semantic web technologies,heuristic,2
2661,multi tenancy,relate,healthcare workflow,heuristic,1
2662,healthcare workflow,relate,multi tenancy,heuristic,1
2663,access control mechanism,verify,owl dl reasoner,heuristic,1
2664,access control mechanism,verify,rule,heuristic,1
2665,rule,verify,owl dl reasoner,heuristic,1
2666,methodology,bootstrapp,gate,heuristic,1
2667,methodology,bootstrapp,unstructured text,heuristic,1
2668,logic,know,transaction logic,heuristic,2
2669,ontologies,tune,ranking,heuristic,3
2670,ontoqa,tune,ranking,heuristic,2
2671,ontology of animal and plant kingdom,train,topic based searching,heuristic,1
2672,search engines,train,topic based searching,heuristic,1
2673,ontology of animal and plant kingdom,train,xml file,heuristic,3
2674,search engines,train,xml file,heuristic,3
2675,person aware environment,call,person aware application,heuristic,1
2676,designing application,call,person aware application,heuristic,1
2677,end user control,relate,automation,heuristic,1
2678,automation,relate,end user control,heuristic,1
2679,data stream management system,emerge,dynamic knowledge,heuristic,3
2680,web service technology,bring,software re-use,heuristic,1
2681,web service discovery and composition,search,online web service repository,heuristic,3
2682,ontology learning,relate,service annotation tool,heuristic,1
2683,service annotation tool,relate,ontology learning,heuristic,1
2684,service annotation tool,relate,automatic classifier,heuristic,1
2685,automatic classifier,relate,service annotation tool,heuristic,1
2686,automatic classifier,relate,metadata based presentation,heuristic,1
2687,metadata based presentation,relate,automatic classifier,heuristic,1
2688,ontology file,share,personal web,heuristic,3
2689,ontology file,share,annotation,heuristic,6
2690,reasoning algorithms,relate,integration,heuristic,1
2691,integration,relate,reasoning algorithms,heuristic,1
2692,reasoning algorithms,relate,reuse,heuristic,1
2693,reuse,relate,reasoning algorithms,heuristic,1
2694,maintenance,relate,reuse,heuristic,1
2695,reuse,relate,maintenance,heuristic,1
2696,r2rif,aim,rule,heuristic,2
2697,rule integration plugin,aim,rule,heuristic,2
2698,rule integration plugin,aim,ontologies,heuristic,2
2699,protege owl,aim,rule,heuristic,2
2700,protege owl,aim,ontologies,heuristic,2
2701,task,come,interoperable w3c rule interchange format,heuristic,2
2702,task,come,rule language,heuristic,2
2703,subsumption reasoning,relate,consistency check,heuristic,1
2704,consistency check,relate,subsumption reasoning,heuristic,1
2705,r2rif,relate,transformation and conversion task,heuristic,1
2706,transformation and conversion task,relate,r2rif,heuristic,1
2707,oaei benchmark test set,compare,ontology matching system,heuristic,3
2708,text mining,relate,ontology alignment,heuristic,1
2709,ontology alignment,relate,text mining,heuristic,1
2710,information retrieval,relate,ontology alignment,heuristic,1
2711,ontology alignment,relate,information retrieval,heuristic,1
2712,is a ontology,exceed,similarity value,heuristic,2
2713,lexical alignmentby computing path,check,top level concept,heuristic,1
2714,lexical alignmentby computing path,check,external terminology,heuristic,1
2715,structure based technique,validate,lexical alignmentby computing path,heuristic,1
2716,top level concept,check,external terminology,heuristic,1
2717,top level concept,check,unified modeling language (uml),heuristic,1
2718,semantic search engines,relate,knowledge reuse,heuristic,1
2719,knowledge reuse,relate,semantic search engines,heuristic,1
2720,semantic distance,accurately.bas,semantic search system,heuristic,1
2721,semantic distance,accurately.bas,cdppir,heuristic,1
2722,semantic search system,relate,cdppir,heuristic,1
2723,cdppir,relate,semantic search system,heuristic,1
2724,cdppir,prevent,semantic reasoning,heuristic,4
2725,phs,relate,semantic similarity calculation model,heuristic,1
2726,unso approach,relate,global predefined ontology,heuristic,1
2727,global predefined ontology,relate,unso approach,heuristic,1
2728,data object,insert,multi layered hypercube graph topology,heuristic,2
2729,normalization manager,normalize,normalized semantic request,heuristic,2
2730,classifiers,dispatch,normalized semantic request,heuristic,2
2731,domain specific module,train,probability,heuristic,4
2732,terminology manager,normalize,classifiers,heuristic,3
2733,terminology manager,receive,normalized semantic request,heuristic,1
2734,information extraction,relate,semantic search engines,heuristic,3
2735,inter enterprise collaboration,relate,automatic tagging of document,heuristic,1
2736,automatic tagging of document,relate,inter enterprise collaboration,heuristic,1
2737,controlled ontological vocabulary,abound,clustering algorithms,heuristic,2
2738,users query,accord,semantic rule,heuristic,1
2739,plain folksonomy search engine,accord,semantic rule,heuristic,1
2740,clustering algorithms,accord,semantic rule,heuristic,1
2741,semantic rule,associate,folksonomic tag,heuristic,1
2742,plain folksonomy search engine,accord,folksonomic tag,heuristic,2
2743,method,marshal,frame evi dence,heuristic,2
2744,frame,frame,frame concept,heuristic,1
2745,subjective inter pretation,relate,manual annotation,heuristic,1
2746,manual annotation,relate,subjective inter pretation,heuristic,1
2747,word sens,relate,hypernym,heuristic,1
2748,hypernym,relate,word sens,heuristic,1
2749,technology,assign,word sens,heuristic,2
2750,technology,assign,hypernym,heuristic,2
2751,querying,relate,information indexing,heuristic,2
2752,information indexing,relate,querying,heuristic,2
2753,word sense,determine,hypernym,heuristic,1
2754,hypernym,sum,word sense,heuristic,1
2755,hypernym,determine,whw ) score,heuristic,1
2756,whw ) score,sum,hypernym,heuristic,1
2757,word sense,determine,whw ) score,heuristic,1
2758,whw ) score,sum,word sense,heuristic,1
2759,indexing,relate,information indexing,heuristic,1
2760,query result,relate,indexing,heuristic,1
2761,whw score,prune,indexing,heuristic,1
2762,indexing,relate,querying,heuristic,2
2763,querying,relate,indexing,heuristic,1
2764,query result,relate,information indexing,heuristic,1
2765,whw score,prune,query result,heuristic,1
2766,query result,relate,querying,heuristic,1
2767,meaning text criterion,relate,lexical function,heuristic,2
2768,lexical function,relate,meaning text criterion,heuristic,2
2769,lexical function,text,semantic matching proces,heuristic,4
2770,meaning text theory,say,semantic representation,heuristic,2
2771,semantic representation,text,lexical function,heuristic,4
2772,lexical function,say,semantic representation,heuristic,2
2773,cross-language information retrieval,relate,semantic search engines,heuristic,1
2774,semantic search engines,relate,cross-language information retrieval,heuristic,1
2775,knowledge management,relate,information extraction,heuristic,2
2776,information extraction,relate,knowledge management,heuristic,2
2777,semantic search engines,relate,information extraction,heuristic,2
2778,wikipedia,relate,eurovoc term,heuristic,1
2779,eurovoc term,relate,wikipedia,heuristic,1
2780,digital contents,grow,personal smart device,heuristic,1
2781,digital contents,depend,search engines,heuristic,2
2782,dynamic selection of category,arrange,appro   priate order,heuristic,1
2783,semantic search engines,ne,visual content of image,heuristic,3
2784,transformation,call,visual content,heuristic,2
2785,transformation,call,keyword,heuristic,2
2786,transformation,call,image annotation,heuristic,1
2787,transformation,call,digital images,heuristic,2
2788,image annotation,assign,visual content,heuristic,1
2789,image annotation,assign,keyword,heuristic,1
2790,image annotation,assign,digital images,heuristic,1
2791,classifiers,allocate,keyword,heuristic,2
2792,bayesian networks,allocate,keyword,heuristic,3
2793,indexing schema,summarize,chapter,heuristic,1
2794,chapter,follow,indexing schema,heuristic,1
2795,semantic search engines,summarize,chapter,heuristic,1
2796,chapter,follow,semantic search engines,heuristic,1
2797,entity occurrence,summarize,chapter,heuristic,1
2798,chapter,follow,entity occurrence,heuristic,2
2799,web scale entity ranking,rank,pairwise preference model,heuristic,3
2800,structured knowledge base,relate,entity relationship graph,heuristic,1
2801,entity relationship graph,relate,structured knowledge base,heuristic,1
2802,entity ranking,structure,entity relationship graph,heuristic,1
2803,information retrieval ir method,struggle,api description,heuristic,1
2804,formal query,relate,domain-specific ontologies,heuristic,1
2805,domain-specific ontologies,relate,formal query,heuristic,1
2806,information retrieval ir method,struggle,formal query,heuristic,2
2807,information retrieval ir method,struggle,domain-specific ontologies,heuristic,2
2808,information retrieval ir method,struggle,semantic search technology,heuristic,1
2809,knowledge bases,stem,model-driven engineering,heuristic,1
2810,metametadata,encapsulate,learning objects,heuristic,8
2811,ontological approach,relate,metametadata,heuristic,2
2812,metametadata,relate,ontological approach,heuristic,1
2813,dialogue,determine,space of discourse,heuristic,2
2814,semantic search space,hope,contextual info,heuristic,2
2815,social clue,relate,sensor networks,heuristic,1
2816,sensor networks,relate,social clue,heuristic,1
2817,sensor networks,relate,context awarenes,heuristic,1
2818,context awarenes,relate,sensor networks,heuristic,1
2819,context awarenes,relate,user profiling,heuristic,1
2820,user profiling,relate,context awarenes,heuristic,1
2821,itc specification,relate,matching search,heuristic,1
2822,matching search,relate,itc specification,heuristic,1
2823,itc concept,associate,semantic relationships,heuristic,2
2824,it education,announce,web jobs ad,heuristic,2
2825,it career category,announce,web jobs ad,heuristic,2
2826,it skill,announce,web jobs ad,heuristic,2
2827,it education,relate,it skill,heuristic,1
2828,it skill,relate,it education,heuristic,1
2829,it career category,relate,it skill,heuristic,1
2830,it skill,relate,it career category,heuristic,1
2831,semantic search itc,overcome,recall ration and precision ratio,heuristic,2
2832,semantic search itc,overcome,keyword search mode,heuristic,1
2833,information retrieval,move,keyword,heuristic,2
2834,semantic search engines,relate,topic detection technique,heuristic,1
2835,topic detection technique,relate,semantic search engines,heuristic,1
2836,word semantic,relate,word item location,heuristic,1
2837,word item location,relate,word semantic,heuristic,1
2838,word semantic,verify,retrieval performance,heuristic,3
2839,word semantic,verify,accuracy,heuristic,3
2840,word item location,verify,retrieval performance,heuristic,3
2841,indexing efficiency,relate,query efficiency,heuristic,1
2842,query efficiency,relate,indexing efficiency,heuristic,1
2843,query efficiency,relate,accuracy,heuristic,1
2844,accuracy,relate,query efficiency,heuristic,1
2845,web service,register,uddi business registry,heuristic,2
2846,web service,register,wsdl file,heuristic,2
2847,web based semantic search,relate,knowledge collaboration application,heuristic,1
2848,knowledge collaboration application,relate,web based semantic search,heuristic,1
2849,triplemap,interconnect,publicly available data,heuristic,4
2850,publicly available data,compile,pubmed abstract,heuristic,2
2851,full text article,relate,pubmed abstract,heuristic,1
2852,pubmed abstract,relate,full text article,heuristic,1
2853,travel planning,relate,user profiling,heuristic,1
2854,user profiling,relate,travel planning,heuristic,1
2855,travel planning,name,mounting data,heuristic,1
2856,travel planning,name,filtering data,heuristic,1
2857,user profiling,relate,name extraction,heuristic,1
2858,name extraction,relate,user profiling,heuristic,1
2859,user profiling,name,mounting data,heuristic,1
2860,user profiling,name,filtering data,heuristic,1
2861,semantic application,name,mounting data,heuristic,2
2862,powerset,launch,semantic application,heuristic,2
2863,semantic search system,launch,semantic application,heuristic,2
2864,semantic application,name,filtering data,heuristic,2
2865,name extraction,relate,filtering data,heuristic,1
2866,filtering data,relate,name extraction,heuristic,1
2867,mounting data,relate,filtering data,heuristic,1
2868,filtering data,relate,mounting data,heuristic,1
2869,large scale application,report,heterogeneous system,heuristic,1
2870,web engineering,relate,ontologies,heuristic,1
2871,ontologies,relate,web engineering,heuristic,1
2872,sham surgery,check,ruffled fur,heuristic,1
2873,micro array data,set,gene ontology mapping,heuristic,2
2874,liver congestion,dilate,rvd rat,heuristic,1
2875,rvf rat,dilate,rvd rat,heuristic,2
2876,ontology category,overlap,dcm pathway,heuristic,1
2877,user-generated content,search,search engines,heuristic,1
2878,google,live,cuil,heuristic,1
2879,yahoo,live,cuil,heuristic,1
2880,search engines,know,google,heuristic,2
2881,search engines,know,yahoo,heuristic,2
2882,google,live,semantic search engines,heuristic,1
2883,google,relate,yahoo,heuristic,2
2884,yahoo,relate,google,heuristic,2
2885,yahoo,live,semantic search engines,heuristic,1
2886,knowledge extraction,relate,disambiguation,heuristic,1
2887,disambiguation,relate,knowledge extraction,heuristic,1
2888,knowledge extraction,relate,semantic data harmonization,heuristic,1
2889,semantic data harmonization,relate,knowledge extraction,heuristic,1
2890,disambiguation,relate,semantic search engines,heuristic,1
2891,semantic search engines,relate,disambiguation,heuristic,1
2892,context identification,overcome,ambiguous query term,heuristic,1
2893,indian logic based ontology,overcome,ambiguous query term,heuristic,1
2894,precision,compare,search engines,heuristic,1
2895,semantic search engine environment,curat,authoritative document collection,heuristic,1
2896,authoritative document collection,draw,semantic search engine environment,heuristic,1
2897,data,navigate,document collection,heuristic,1
2898,corpus of information,document,semantic relationships of information,heuristic,4
2899,corpus of information,group,semantic key term,heuristic,2
2900,corpus of information,group,packed knowledge representation,heuristic,3
2901,semantic key term,document,semantic relationships of information,heuristic,2
2902,packed knowledge representation,document,semantic relationships of information,heuristic,1
2903,knowledge representation,document,semantic relationship,heuristic,1
2904,knowledge representation,document,semantic key term,heuristic,1
2905,opac enhancement,concern,ranking query,heuristic,1
2906,ranking query,suppose,inverse document frequency,heuristic,3
2907,libri,relate,ncsu library,heuristic,1
2908,ncsu library,relate,libri,heuristic,1
2909,opac,follow,indexing strategy,heuristic,1
2910,opac,follow,topic examination,heuristic,3
2911,indexing strategy,put,topic examination,heuristic,2
2912,semantic search function,follow,indexing strategy,heuristic,1
2913,semantic search function,follow,topic examination,heuristic,3
2914,computational linguistic,relate,language technology,heuristic,1
2915,language technology,relate,computational linguistic,heuristic,1
2916,annotation schema,release,corpu,heuristic,1
2917,scientific discourse analysi,relate,citation analysi,heuristic,1
2918,citation analysi,relate,scientific discourse analysi,heuristic,1
2919,citation analysi,relate,question answering systems,heuristic,1
2920,question answering systems,relate,citation analysi,heuristic,1
2921,question answering systems,relate,taxonomy extraction,heuristic,1
2922,taxonomy extraction,relate,question answering systems,heuristic,1
2923,semantic search engines,relate,taxonomy extraction,heuristic,1
2924,taxonomy extraction,relate,semantic search engines,heuristic,1
2925,entity,relate,content based suggestion,heuristic,1
2926,content based suggestion,relate,entity,heuristic,1
2927,semex interface pro   vides facet filter,relate,entity recommendation,heuristic,1
2928,entity recommendation,relate,semex interface pro   vides facet filter,heuristic,1
2929,feature,compare,system,heuristic,2
2930,system,ne,search query,heuristic,2
2931,search proces,compare,system,heuristic,1
2932,search proces,ne,search query,heuristic,3
2933,semex interface,pursue,exploratory search strategy,heuristic,2
2934,semantic search engines,relate,link prediction,heuristic,1
2935,link prediction,relate,semantic search engines,heuristic,1
2936,semantic search engines,relate,query language,heuristic,1
2937,query language,relate,semantic search engines,heuristic,1
2938,twitter,relate,linked data,heuristic,1
2939,linked data,relate,twitter,heuristic,1
2940,linked data,relate,process modelling,heuristic,1
2941,process modelling,relate,linked data,heuristic,1
2942,grid learning service,depend,systempsilas semantic capability,heuristic,4
2943,learning,locate,learning framework,heuristic,1
2944,schema and ontology matching method,aim,grid based learning tool,heuristic,3
2945,schema and ontology matching method,aim,automatic composition,heuristic,3
2946,computation of the correspondence,hold,ontologies,heuristic,1
2947,application,hold,nodes of graph structure,heuristic,2
2948,computation of the correspondence,hold,nodes of graph structure,heuristic,1
2949,ontology alignment,hold,nodes of graph structure,heuristic,2
2950,application,focu,computation of the correspondence,heuristic,1
2951,ontology alignment,focu,computation of the correspondence,heuristic,1
2952,web service description,ne,full graph structure,heuristic,3
2953,matching operator,call,structure preserving match,heuristic,1
2954,semantic interoperability,intend,extensional method,heuristic,2
2955,cultural heritage domain,intend,extensional method,heuristic,2
2956,ontology alignment,express,swrl rule,heuristic,1
2957,methodology,engineer,de   centralised communities of practice,heuristic,1
2958,ontology engineering field,spe,ontology development proces,heuristic,2
2959,knowledge resource reuse,become,ontology development proces,heuristic,4
2960,knowledge resource reuse,become,ontology engineering field,heuristic,2
2961,understandability,relate,integration workload,heuristic,2
2962,integration workload,relate,understandability,heuristic,2
2963,understandability,relate,reuse cost,heuristic,2
2964,reuse cost,relate,understandability,heuristic,2
2965,integration workload,relate,reliability,heuristic,2
2966,reliability,relate,integration workload,heuristic,2
2967,additive multi attribute utility model,allay,decision analysis methodology,heuristic,6
2968,pc based decision support system,intend,decision analysis methodology,heuristic,8
2969,annotation,relate,software architectures,heuristic,1
2970,ontologies,play,formalization of common information,heuristic,1
2971,computational efficiency,ne,real world application,heuristic,2
2972,accuracy,ne,real world application,heuristic,2
2973,robustnes,ne,large scale ontology construction,heuristic,2
2974,robustnes,relate,accuracy,heuristic,1
2975,accuracy,relate,robustnes,heuristic,1
2976,computational efficiency,ne,large scale ontology construction,heuristic,2
2977,automatic or semi automatic discovery of crisp ontology,ne,large scale ontology construction,heuristic,2
2978,accuracy,ne,large scale ontology construction,heuristic,5
2979,semantic markup,relate,ontologies,heuristic,1
2980,ontologies,relate,semantic markup,heuristic,2
2981,ontological metamodeling,refer,abstraction,heuristic,2
2982,multilevel modeling,refer,abstraction,heuristic,2
2983,ontological metamodeling,exist,potency based deep instantiation,heuristic,1
2984,potency based deep instantiation,relate,materialization,heuristic,1
2985,materialization,relate,potency based deep instantiation,heuristic,1
2986,conceptual modeling,exist,potency based deep instantiation,heuristic,1
2987,ontological metamodeling,exist,materialization,heuristic,1
2988,conceptual modeling,exist,materialization,heuristic,1
2989,mapping,transfer,conceptual modeling,heuristic,2
2990,integrity constraint,sketch,tool support,heuristic,1
2991,algorithm,relate,method,heuristic,2
2992,method,relate,algorithm,heuristic,2
2993,algorithm,automatize,ontology construction,heuristic,2
2994,method,automatize,ontology construction,heuristic,2
2995,ontologies,become,computer science,heuristic,2
2996,computer science,automatize,ontology construction,heuristic,3
2997,semantic relation,relate,domain,heuristic,1
2998,free from text document,relate,domain,heuristic,1
2999,word co occurrence,capture,relatedness of word,heuristic,1
3000,ontologies,play,semantic interoperability,heuristic,5
3001,hybrid ontology,ground,community interaction,heuristic,2
3002,hybrid ontology,relate,concept,heuristic,1
3003,concept,relate,hybrid ontology,heuristic,1
3004,agreement,ground,community interaction,heuristic,1
3005,concept,ground,community interaction,heuristic,2
3006,ontology construction proces,steer,agreement process,heuristic,2
3007,data inconsistency,relate,data mismatch,heuristic,1
3008,data mismatch,relate,data inconsistency,heuristic,1
3009,semantic model,act,seamless data integration,heuristic,2
3010,methodology,put,ontology construction,heuristic,2
3011,fault diagnosi,relate,root cause investigation,heuristic,1
3012,root cause investigation,relate,fault diagnosi,heuristic,1
3013,root cause investigation,relate,spare parts maintenance,heuristic,1
3014,spare parts maintenance,relate,root cause investigation,heuristic,1
3015,ontology learning,become,ontology construction,heuristic,3
3016,evolution,relate,temporal reasoning,heuristic,1
3017,temporal reasoning,relate,evolution,heuristic,1
3018,evolution,remain,ontology construction,heuristic,1
3019,temporal reasoning,remain,ontology construction,heuristic,1
3020,e-business models,argue,knowledge representation technique,heuristic,1
3021,pattern,conduct,explicit quantification,heuristic,3
3022,data mining,grow,formalized representation of outcomes of research,heuristic,1
3023,data mining,relate,dataset,heuristic,2
3024,dataset,relate,data mining,heuristic,1
3025,ontologies,name,data mining,heuristic,3
3026,ontologies,name,ontodm,heuristic,1
3027,dataset,relate,datatype,heuristic,1
3028,datatype,relate,dataset,heuristic,1
